"","business_id","business_name","state","stars","noiselevel","Delivery","WiFi","average_stars","Avuser","TV","Alcohol","OutdoorSeating","Reservations","Attire","category"
"1","--6MefnULPED_I942VcFNA","John's Chinese BBQ Restaurant","ON",3,1,0,0,3.23333333333333,3.522,0,1,0,1,1,"Chinese"
"2","--S62v0QgkqQaVUhFnNHrw","Denny's","OH",2,2,0,0,2,3.205,1,0,0,0,1,"American (Traditional)"
"3","--SrzpvFLwP_YFwB_Cetow","Keung Kee Restaurant","ON",3.5,2,0,2,3.63157894736842,3.57052631578947,0,0,0,1,1,"Chinese"
"4","--qJNlGWyvPJfBrqwp9c0w","Bella Vista","BW",3.5,1,0,0,3.26666666666667,3.68633333333333,0,1,0,1,1,"Italian"
"5","-01XupAWZEXbdNbxNg5mEg","18 Degrees Neighborhood Grill","AZ",3,3,0,2,2.88888888888889,3.4875,1,2,1,0,1,"American (Traditional)"
"6","-06-Fdi30wJx-JA8P7CAng","China House","OH",3.5,2,0,0,3.6,3.5644,0,0,0,0,1,"Chinese"
"7","-092wE7j5HZOogMLAh40zA","Wong's Jr","AZ",3.5,1,1,0,3.30120481927711,3.52698795180723,1,0,0,0,1,"Chinese"
"8","-0CTrPQNiSyClxhdO4HSDQ","Pizza Hut","ON",2,2,1,0,2.05,2.9585,1,1,0,1,1,"Italian"
"9","-0NhdsDJsdarxyDPR523ZQ","Akco Lounge","ON",3,2,0,2,3,3.53142857142857,1,2,0,1,1,"Korean"
"10","-0NhdsDJsdarxyDPR523ZQ","Akco Lounge","ON",3,2,0,2,3,3.53142857142857,1,2,0,1,1,"Japanese"
"11","-0NrB58jqKqJfuUCDupcsw","The Fry","ON",3.5,3,0,0,3.38157894736842,3.59578947368421,0,1,0,1,1,"Korean"
"12","-0WegMt6Cy966qlDKhu6jA","Game Seven Grill","AZ",2,2,0,2,2.16216216216216,3.45986486486486,1,2,1,0,1,"American (Traditional)"
"13","-1VaIJza42Hjev6ukacCNg","Rio Mirage Cafe Y Cantina","AZ",4,2,0,2,3.90532544378698,3.72325443786982,0,2,1,1,1,"Mexican"
"14","-1vfRrlnNnNJ5boOVghMPA","Red Ginseng Narita Sushi & BBQ","NV",3,2,0,0,3.19736842105263,3.76065789473684,1,1,0,1,1,"Korean"
"15","-1xCh7Cocn6IwFzhELyohA","Jose' and Tony's Mexican Restaurant","PA",2.5,2,0,2,2.26470588235294,3.49264705882353,1,2,0,0,1,"Mexican"
"16","-2A9emZwBK8zYHPnAmM0hw","China Farm Chinese Buffet","AZ",2.5,2,1,2,2.66666666666667,3.72333333333333,1,0,0,1,1,"Chinese"
"17","-2EAyppKR_2xuLyvJZEbRQ","Burrito Burrito","ON",2.5,2,1,0,2.33333333333333,3.39388888888889,1,0,0,0,1,"Mexican"
"18","-2isRNVb6PDuBagELL5EBw","Taco Bell","AZ",3,2,0,2,2.875,3.633125,1,0,0,0,1,"Mexican"
"19","-2pQf1ceDZyE2ReCNbj-3A","Just Fresh","NC",3.5,2,0,2,3.44,3.5238,1,1,1,0,1,"American (Traditional)"
"20","-33_OPx1aKM22qxioPgJ_Q","China Restaurant","NC",3,1,0,0,3,3.29625,0,0,0,0,1,"Chinese"
"21","-382X_bWhJKPJKP1VfXOmw","Johnny Rockets","PA",2,3,0,0,2.12820512820513,2.96974358974359,0,0,0,0,1,"American (Traditional)"
"22","-3Haoc0l9DZRSXxIHi9oJg","Klondike","QC",2,3,1,2,2.15789473684211,3.32421052631579,1,2,1,1,1,"Italian"
"23","-3oxnPPPU3YoxO9M1I2idg","Eklectic Pie - Mesa","AZ",4,2,0,2,4.2093023255814,3.87240310077519,0,1,0,0,1,"Italian"
"24","-3rvpkYkYD_N1IP4hSvD0A","Sushi Three","PA",3.5,1,1,2,3.52173913043478,3.82434782608696,0,2,0,1,1,"Japanese"
"25","-49WY_TEa9ZEcRk_GnuLog","Cracker Barrel Old Country Store","OH",3.5,2,0,0,3.55555555555556,3.69481481481481,0,0,0,0,1,"American (Traditional)"
"26","-4TMQnQJW1yd6NqGRDvAeA","The House Brasserie","AZ",4,2,0,0,4.08163265306122,3.85274052478134,1,2,1,1,2,"American (Traditional)"
"27","-4TMQnQJW1yd6NqGRDvAeA","The House Brasserie","AZ",4,2,0,0,4.08163265306122,3.85274052478134,1,2,1,1,2,"French"
"28","-4bPFENRdTqjML8aKEL6ow","Paper Crane","ON",4,2,0,2,4.24137931034483,3.7251724137931,0,1,1,1,1,"Japanese"
"29","-5L8zOxibac-vBrsYtxXbQ","Ed's Tavern","NC",3.5,3,0,2,3.57291666666667,3.836875,1,2,1,0,1,"American (Traditional)"
"30","-5dd-RjojGVK9hjAMCXVZw","La Fiesta Mexican Restaurant","IL",3,2,0,0,3.15384615384615,3.56384615384615,1,2,0,1,1,"Mexican"
"31","-6c23X5Qf922FmsX_QHFqg","Burreatos","BW",4,2,0,0,4.17391304347826,3.95260869565217,0,0,1,0,1,"Mexican"
"32","-6h3K1hj0d4DRcZNUtHDuw","Brio Tuscan Grille","AZ",3.5,2,0,2,3.65795724465558,3.79769596199525,1,2,1,1,1,"Italian"
"33","-6tvduBzjLI1ISfs3F_qTg","Joyride Taco House","AZ",4,2,0,2,3.91453940066593,3.83087680355161,1,2,1,1,1,"Mexican"
"34","-7EwIdxcRC5McO35DVfeSQ","Xin Jiang Restaurant","ON",4,2,0,0,3.78823529411765,3.60788235294118,0,0,0,1,1,"Chinese"
"35","-7PX_FOoCwktlunImRyZdg","Pizza Taglio","PA",4,2,0,2,4.24731182795699,3.92612903225806,0,0,0,0,1,"Italian"
"36","-865Ps6xb3h1LP67JcQ3mA","Rainbow Garden","IL",3,1,1,0,3,3.448125,1,1,0,1,1,"Chinese"
"37","-8AoSGOdZyDdTpT2oqX3zQ","Jack Astor's Bar & Grill","QC",3.5,3,0,2,3.66666666666667,3.85666666666667,1,2,1,1,1,"American (Traditional)"
"38","-8JaNeG3etLgOVyg2gOIiA","La Fontanella Restaurant","AZ",4,1,0,0,3.77049180327869,3.57081967213115,0,2,0,1,2,"Italian"
"39","-8O8sVCnaIKHP-596zN9UA","Blue Canyon","OH",3.5,2,0,2,3.67785234899329,3.65892617449664,1,2,1,1,1,"American (Traditional)"
"40","-8Oaw94x2pYJCVP8ZtuTTw","Carrabba's Italian Grill","NC",3.5,2,1,0,3.36231884057971,3.59927536231884,1,2,0,0,1,"Italian"
"41","-8QlV3b_9H4BAh6LgMIr1g","Nandini Indian Cuisine","AZ",4.5,1,0,0,4.25615763546798,3.9420197044335,0,2,0,1,1,"Indian"
"42","-8R_-EkGpUhBk55K9Dd4mg","Sin City Thai Restaurant","NV",3.5,2,1,0,3.54444444444444,3.71011111111111,1,0,0,0,1,"Thai"
"43","-8iwcXhLnyqbLgvcrJGgaw","Red Rocks Cafe","NC",4,2,0,2,3.82051282051282,3.77153846153846,1,2,1,1,1,"American (Traditional)"
"44","-8jeDY-TJ_e6w7h0c--A-w","Chingu Korean BBQ","ON",4,2,0,0,3.875,3.48075,1,2,0,1,1,"Korean"
"45","-9eNGMp8XiygI8t8QFuFWw","The Melting Pot","AZ",3.5,1,0,0,3.70491803278689,3.85327868852459,1,2,1,1,1,"American (Traditional)"
"46","-AVRReI-nfsa0lKlehEojw","Sushi Bar","ON",3,2,1,0,3.15909090909091,3.44977272727273,1,2,0,1,1,"Japanese"
"47","-AtzcXIwEP6yO7rM9CM9ww","Mexico City","PA",4,2,0,0,3.94444444444444,3.72333333333333,0,0,0,0,1,"Mexican"
"48","-BbnAc9YEO6pjvJGEtFbVQ","Sansotei","ON",4,2,0,0,4.21081081081081,3.71194594594595,0,1,0,0,1,"Japanese"
"49","-Biboxy2pG3MovBOF_r4SQ","Perkins Restaurant & Bakery","OH",2.5,2,0,0,2.51724137931034,3.39034482758621,0,0,0,0,1,"American (Traditional)"
"50","-BrMNg4MbpftOUTjOMVp9g","Mint Indian Cuisine","AZ",4,2,0,0,3.75247524752475,3.79148514851485,1,2,0,0,1,"Indian"
"51","-CLTZ0cO-ooKDDmXHFoGMg","Pi Co","ON",3.5,2,1,0,3.6734693877551,3.63530612244898,0,0,0,0,1,"Italian"
